Plate,Well,ID,Concentration,Area,Mean,Min,Max,Replicate
1-,A1,1-A1,1,1310720,38.049,9,255,1
1-,A2,1-A2,0.5,1310720,70.473,24,255,1
1-,A3,1-A3,0.25,1310720,92.296,27,255,1
1-,A4,1-A4,0.125,1310720,98.363,27,255,1
1-,A5,1-A5,0.0625,1310720,97.378,27,255,1
1-,A6,1-A6,0.03125,1310720,91.206,26,255,1
1-,A7,1-A7,0.015625,1310720,93.883,27,255,1
1-,A8,1-A8,0.0078125,1310720,86.513,26,255,1
1-,A9,1-A9,0.00390625,1310720,97.48,27,255,1
1-,A10,1-A10,0.001953125,1310720,101.451,28,255,1
1-,A11,1-A11,0.000976563,1310720,110.08,29,255,1
1-,A12,1-A12,0,1310720,95.719,26,255,1
1-,B1,1-B1,1,1310720,85.845,26,255,2
1-,B2,1-B2,0.5,1310720,73.025,24,255,2
1-,B3,1-B3,0.25,1310720,98.505,28,255,2
1-,B4,1-B4,0.125,1310720,89.911,28,255,2
1-,B5,1-B5,0.0625,1310720,90.41,26,255,2
1-,B6,1-B6,0.03125,1310720,97.046,27,255,2
1-,B7,1-B7,0.015625,1310720,103.092,28,255,2
1-,B8,1-B8,0.0078125,1310720,100.572,28,255,2
1-,B9,1-B9,0.00390625,1310720,100.572,28,255,2
1-,B10,1-B10,0.001953125,1310720,87.284,26,255,2
1-,B11,1-B11,0.000976563,1310720,98.74,27,255,2
1-,B12,1-B12,0,1310720,103.237,27,255,2
1-,C1,1-C1,1,1310720,84.129,25,255,3
1-,C2,1-C2,0.5,1310720,98.906,27,255,3
1-,C3,1-C3,0.25,1310720,100.494,27,255,3
1-,C4,1-C4,0.125,1310720,102.183,27,255,3
1-,C5,1-C5,0.0625,1310720,86.728,28,255,3
1-,C6,1-C6,0.03125,1310720,83.154,25,255,3
1-,C7,1-C7,0.015625,1310720,69.921,23,255,3
1-,C8,1-C8,0.0078125,1310720,100.473,28,255,3
1-,C9,1-C9,0.00390625,1310720,106.208,28,255,3
1-,C10,1-C10,0.001953125,1310720,69.652,24,255,3
1-,C11,1-C11,0.000976563,1310720,98.926,26,255,3
1-,C12,1-C12,0,1310720,102.484,26,255,3
